anr;datum;titel_off_d;rechtsform;d1e1;d1e2;d1e3;d2e1;d2e2;d2e3;d3e1;d3e2;d3e3;dep;br-pos;legislatur;legisjahr;bv-pos;nr-pos;nrja;nrnein;sr-pos;srja;srnein;urheber;p-fdp;p-sps;p-svp;p-mitte;p-evp;p-gps;p-glp;p-ucsp;p-pda;p-sd;p-edu;p-fps;p-lega;p-kvp;p-mcg;p-cvp;p-bdp;p-lps;p-ldu;p-poch;p-rep;p-eco;p-sgv;p-sbv;p-sgb;p-travs;p-sav;p-vsa;p-vpod;p-voev;p-tcs;p-vcs;p-acs;p-sbk;p-ssv;p-gem;p-kdk;p-kkjpd;p-gdk;p-ldk;p-vdk;p-sodk;p-endk;p-fdk;p-edk;p-bpuk;nr-wahl;w-fdp;w-sp;w-svp;w-mitte;w-evp;w-gps;w-glp;w-csp;w-pda;w-sd;w-edu;w-fps;w-lega;w-kvp;w-mcg;w-cvp;w-bdp;w-lps;w-ldu;w-poch;w-rep;w-ubrige;ja-lager;nein-lager;keinepar-summe;leer-summe;freigabe-summe;unbekannt-summe;neutral-summe;volk;stand;annahme;berecht;stimmen;bet;leer;ungultig;gultig;volkja;volknein;volkja-proz;kt-ja;kt-nein;ktjaproz
120;05.05.1935;Bundesgesetz über die Regelung der Beförderung von Gütern und Tieren mit Motorfahrzeugen auf öffentlichen Strassen (Verkehrsteilungsgesetz);2;8;8.1;.;4;4.1;4.13;.;.;.;7;1;29;1931-1935;1;1;85;2;1;31;1;Westschweizer Komitee;1;2;2;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;2;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1931;26.94;28.72;15.27;.;0.98;.;.;.;1.48;.;.;.;.;.;.;21.38;.;2.85;.;.;.;2.38;26.94;65.37;0.00;0.00;0.00;7.69;0.00;0;3;0;1190054;751726;63.17;30393;1210;720123;232954;487169;32.35;2;20;9.09
121;02.06.1935;Volksinitiative «zur Bekämpfung der Wirtschaftskrise»;3;4;4.1;4.11;4;4.2;4.24;4;4.3;4.31;6;2;29;1931-1935;2;2;51;98;2;1;30;Sozialdemokratische Partei, Schweizerischer Gewerkschaftsbund, Föderativverband eidgenössischer Beamter, Angestellter und Arbeiter, Christlichnationaler Gewerkschaftsbund, Schweizerischer Verband evangelischer Arbeitnehmer;2;1;2;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;2;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1931;26.94;28.72;15.27;.;0.98;.;.;.;1.48;.;.;.;.;.;.;21.38;.;2.85;.;.;.;2.38;28.72;63.59;0.00;0.00;0.00;7.69;0.00;0;0;0;1194129;1007285;84.35;12575;2043;992667;425242;567425;42.84;4;18;18.18
122;08.09.1935;Volksinitiative «für eine Totalrevision der Bundesverfassung»;3;1;1.2;1.21;.;.;.;.;.;.;3;3;29;1931-1935;3;3;.;.;3;.;.;Diverse Frontisten und Jungkonservative;2;2;2;9999;.;9999;9999;9999;2;9999;9999;9999;9999;9999;9999;1;9999;1;9999;9999;9999;.;.;2;2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1931;26.94;28.72;15.27;.;0.98;.;.;.;1.48;.;.;.;.;.;.;21.38;.;2.85;.;.;.;2.38;24.23;72.41;0.00;0.00;0.00;3.36;0.00;0;0;0;1193941;727063;60.90;17853;1497;707713;196135;511578;27.71;3;19;13.64
123;28.11.1937;Volksinitiative «für ein Verbot der Freimaurerei»;3;3;3.1;3.12;1;1.6;1.62;.;.;.;3;2;30;1935-1939;2;2;.;.;2;0;22;Schweizerische Heimatwehr, Faschistische Bewegung;2;2;2;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;66;9999;.;1;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1935;23.72;28.01;10.98;.;0.74;.;.;.;1.38;.;.;.;.;.;.;20.26;.;3.34;4.14;.;.;7.44;4.14;62.70;0.00;0.00;0.00;12.90;20.26;0;0;0;1187637;783116;65.94;30578;2231;750307;234980;515327;31.32;1;21;4.55
124;20.02.1938;Bundesbeschluss über die Revision der Art. 107 und 116 der Bundesverfassung (Anerkennung des Rätoromanischen als Nationalsprache);1;12;12.2;.;.;.;.;.;.;.;2;1;30;1935-1939;1;1;114;0;1;36;0;.;1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;.;1;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1935;23.72;28.01;10.98;.;0.74;.;.;.;1.38;.;.;.;.;.;.;20.26;.;3.34;4.14;.;.;7.44;87.10;0.00;0.00;0.00;0.00;12.90;0.00;1;1;1;1216756;661022;54.33;24692;8512;627818;574991;52827;91.59;22;0;100.00
125;20.02.1938;Volksinitiative «betreffend die dringlichen Bundesbeschlüsse und die Wahrung der demokratischen Volksrechte»;3;1;1.3;1.32;1;1.2;1.23;1;1.4;1.42;3;2;30;1935-1939;2;2;2;145;2;0;35;Kommunistische Partei;2;2;2;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;2;9999;.;2;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1935;23.72;28.01;10.98;.;0.74;.;.;.;1.38;.;.;.;.;.;.;20.26;.;3.34;4.14;.;.;7.44;0.00;87.10;0.00;0.00;0.00;12.90;0.00;0;0;0;1216756;661022;54.33;63433;21756;575833;87638;488195;15.22;0;22;0.00
126.1;20.02.1938;Volksinitiative «Private Rüstungsindustrie»;3;3;3.2;3.23;4;4.1;4.13;2;2.6;.;4;2;30;1935-1939;2;2;.;.;2;.;.;Europa-Union und Links-Pazifisten;2;2;2;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;2;9999;.;2;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1935;23.72;28.01;10.98;.;0.74;.;.;.;1.38;.;.;.;.;.;.;20.26;.;3.34;4.14;.;.;7.44;0.00;87.10;0.00;0.00;0.00;12.90;0.00;0;0;0;1216756;661022;54.33;52896;35542;572581;65938;419013;11.52;0;22;0.00
126.2;20.02.1938;Gegenentwurf zur Volksinitiative «Private Rüstungsindustrie»;4;3;3.2;3.23;4;4.1;4.13;2;2.6;.;4;.;30;1935-1939;1;1;.;.;1;.;.;Volksinitiative: Europa-Union und Links-Pazifisten;1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;.;1;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1935;23.72;28.01;10.98;.;0.74;.;.;.;1.38;.;.;.;.;.;.;20.26;.;3.34;4.14;.;.;7.44;87.10;0.00;0.00;0.00;0.00;12.90;0.00;1;1;1;1216756;661022;54.33;52896;35542;572581;394052;149025;68.82;22;0;100.00
127;03.07.1938;Schweizerisches Strafgesetzbuch;2;1;1.6;1.65;1;1.5;1.53;3;3.1;3.12;3;1;30;1935-1939;1;1;138;36;1;29;11;Aktionskomitee gegen das Bundesstrafgesetz;1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;2;9999;.;1;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1935;23.72;28.01;10.98;.;0.74;.;.;.;1.38;.;.;.;.;.;.;20.26;.;3.34;4.14;.;.;7.44;66.85;20.26;0.00;0.00;0.00;12.90;0.00;1;3;1;1219755;695939;57.06;23455;2016;670468;358438;312030;53.46;9.5;12.5;43.18
128;27.11.1938;Bundesbeschluss betreffend die Übergangsordnung des Finanzhaushaltes;1;6;6.2;.;6;6.1;6.11;10;10.2;10.21;5;.;30;1935-1939;1;1;95;3;1;29;.;.;1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;.;1;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1935;23.72;28.01;10.98;.;0.74;.;.;.;1.38;.;.;.;.;.;.;20.26;.;3.34;4.14;.;.;7.44;87.10;0.00;0.00;0.00;0.00;12.90;0.00;1;1;1;1223336;738307;60.35;30951;2431;704925;509387;195538;72.26;21;1;95.45
129;22.01.1939;Volksinitiative «zur Wahrung der verfassungsmässigen Rechte der Bürger» (Erweiterung der Verfassungsgerichtsbarkeit);3;1;1.3;1.33;1;1.2;1.23;1;1.4;1.42;3;2;30;1935-1939;2;2;12;91;2;0;21;Ad-hoc-Komitee;2;2;2;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;2;9999;.;1;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1935;23.72;28.01;10.98;.;0.74;.;.;.;1.38;.;.;.;.;.;.;20.26;.;3.34;4.14;.;.;7.44;4.14;82.96;0.00;0.00;0.00;12.90;0.00;0;0;0;1223536;569561;46.55;77687;3211;488663;141323;347340;28.92;0;22;0.00
130;22.01.1939;Bundesbeschluss über das Volksbegehren für Einschränkung der Anwendung der Dringlichkeitsklausel (Gegenentwurf);4;1;1.3;1.32;1;1.2;1.23;1;1.4;1.42;3;.;30;1935-1939;1;1;.;.;1;30;4;Volksinitiative: Richtlinienbewegung (Sozialdemokratische Partei, Schweizerischer Gewerkschaftsbund, Föderativverband eidgenössischer Beamter, Angestellter und Arbeiter, Christlich-nationaler Gewerkschaftsbund, Schweizerischer Verband evangelischer Arbeitnehmer);1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;.;1;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1935;23.72;28.01;10.98;.;0.74;.;.;.;1.38;.;.;.;.;.;.;20.26;.;3.34;4.14;.;.;7.44;87.10;0.00;0.00;0.00;0.00;12.90;0.00;1;1;1;1223536;569561;46.55;65459;3046;501056;346024;155032;69.06;21;1;95.45
131;04.06.1939;Bundesbeschluss betreffend Ergänzung der Bundesverfassung für die Eröffnung und teilweise Deckung von Krediten zum Ausbau der Landesverteidigung und zur Bekämpfung der Arbeitslosigkeit;1;3;3.2;3.21;4;4.2;4.24;8;8.2;8.21;6;.;30;1935-1939;1;1;112;8;1;24;7;.;1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;.;1;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1935;23.72;28.01;10.98;.;0.74;.;.;.;1.38;.;.;.;.;.;.;20.26;.;3.34;4.14;.;.;7.44;87.10;0.00;0.00;0.00;0.00;12.90;0.00;1;1;1;1226873;671453;54.73;24871;1420;645162;445622;199540;69.07;19;3;86.36
132;03.12.1939;Bundesgesetz über die Änderung des Dienstverhältnisses und der Versicherung des Bundespersonals;2;1;1.3;1.31;10;10.2;10.23;6;6.4;.;5;1;31;1939-1943;1;1;122;1;1;24;1;.;1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;.;9999;.;1;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1939;20.72;25.93;14.74;.;0.93;.;.;.;2.58;.;.;.;.;.;.;16.98;.;1.66;7.07;.;.;9.40;68.46;0.00;0.00;0.00;0.00;31.54;0.00;0;3;0;1241404;792899;63.87;19524;2102;771273;290238;481035;37.63;3.5;18.5;15.91
133;01.12.1940;Bundesgesetz über die Abänderung der Art. 103 und 104 des Bundesgesetzes vom 12. April 1907 betreffend die Militärorganisation (Einführung des obligatorischen militärischen Vorunterrichts);2;3;3.2;3.27;12;12.4;.;.;.;.;4;1;31;1939-1943;1;1;105;0;1;17;7;Katholische Bauern und Jugendorganisationen, Föderalisten, Deutschschweizer Pastoren;1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;.;1;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1939;20.72;25.93;14.74;.;0.93;.;.;.;2.58;.;.;.;.;.;.;16.98;.;1.66;7.07;.;.;9.40;85.44;0.00;0.00;0.00;0.00;14.56;0.00;0;3;0;1254578;798085;63.61;14716;3122;780247;345430;434817;44.27;5;17;22.73
134;09.03.1941;Volksinitiative «zur Neuordnung des Alkoholwesens»;3;10;10.1;10.14;5;5.3;.;.;.;.;5;2;31;1939-1943;2;2;0;121;2;0;30;Innerschweizer Bauernbund, Schweizerischer Kupferschmiedemeisterverband, Urschweizer Kupfermeisterverband, Schweizerischer Lohnbrennerverband sowie ad hoc gebildete innerschweizerische Obstbauernkomitees;2;2;2;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;2;9999;.;2;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1939;20.72;25.93;14.74;.;0.93;.;.;.;2.58;.;.;.;.;.;.;16.98;.;1.66;7.07;.;.;9.40;0.00;85.44;0.00;0.00;0.00;14.56;0.00;0;0;0;1261361;774843;61.43;14681;2422;757740;304867;452873;40.23;7.5;14.5;34.09
135;25.01.1942;Volksinitiative «für die Wahl des Bundesrates durch das Volk und die Erhöhung der Mitgliederzahl»;3;1;1.3;1.31;1;1.2;1.24;1;1.4;.;3;2;31;1939-1943;2;2;.;.;2;.;.;Sozialdemokratische Partei;2;1;2;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;2;9999;.;2;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1939;20.72;25.93;14.74;.;0.93;.;.;.;2.58;.;.;.;.;.;.;16.98;.;1.66;7.07;.;.;9.40;25.93;59.51;0.00;0.00;0.00;14.56;0.00;0;0;0;1278688;792424;61.97;13381;3311;775732;251605;524127;32.43;0;22;0.00
136;03.05.1942;Volksinitiative «für die Reorganisation des Nationalrates»;3;1;1.3;1.32;1;1.2;1.24;.;.;.;3;2;31;1939-1943;2;2;9;134;2;0;.;Landesring der Unabhängigen;2;2;2;9999;2;9999;9999;9999;2;9999;9999;9999;9999;9999;9999;2;9999;2;1;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1939;20.72;25.93;14.74;.;0.93;.;.;.;2.58;.;.;.;.;.;.;16.98;.;1.66;7.07;.;.;9.40;7.07;83.53;0.00;0.00;0.00;9.40;0.00;0;0;0;1283487;660818;51.49;30543;1825;628450;219629;408821;34.95;0.5;21.5;2.27
137;29.10.1944;Bundesgesetz über den unlauteren Wettbewerb;2;4;4.1;4.12;.;.;.;.;.;.;6;1;32;1943-1947;1;1;100;6;1;.;0;"Aktionskomitee ""Freie Bahn den Jungen"", unterstützt vom Landesring der Unabhängigen";1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;.;9999;.;2;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1943;22.48;28.60;11.59;.;0.41;.;.;.;.;.;.;.;.;.;.;20.79;.;3.23;5.52;.;.;7.38;62.67;5.52;0.00;0.00;0.00;31.81;0.00;1;3;1;1324498;674469;50.92;22482;2569;649418;343648;305770;52.92;13.5;8.5;61.36
138;21.01.1945;Bundesgesetz über die Schweizerischen Bundesbahnen;2;8;8.3;.;6;6.4;.;.;.;.;7;1;32;1943-1947;1;1;131;2;1;30;2;.;1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;.;1;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1943;22.48;28.60;11.59;.;0.41;.;.;.;.;.;.;.;.;.;.;20.79;.;3.23;5.52;.;.;7.38;88.98;0.00;0.00;0.00;0.00;11.02;0.00;1;3;1;1327961;702401;52.89;15300;1461;685640;388831;296809;56.71;13;9;59.09
139;25.11.1945;Bundesbeschluss über das Volksbegehren «Für die Familie» (Gegenentwurf);4;10;10.2;10.25;9;9.2;.;10;10.3;10.34;6;.;32;1943-1947;1;1;126;0;1;.;0;Volksinitiative: Katholisch-Konservative Volkspartei;1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;.;66;9999;9999;3;1;1;1;.;3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1943;22.48;28.60;11.59;.;0.41;.;.;.;.;.;.;.;.;.;.;20.79;.;3.23;5.52;.;.;7.38;83.46;0.00;0.00;0.00;0.00;11.02;5.52;1;1;1;1341980;745227;55.53;24738;1610;718879;548601;170278;76.31;21.5;0.5;97.73
140;10.02.1946;Bundesbeschluss über das Volksbegehren betreffend eine Gütertransportordnung (Gegenentwurf);4;8;8.1;.;4;4.1;4.13;.;.;.;7;.;32;1943-1947;1;1;104;16;1;24;3;Volksinitiative: Schweizerische Liga für rationelle Verkehrswirtschaft (LITRA);1;1;66;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;.;9999;.;2;9999;9999;.;1;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1943;22.48;28.60;11.59;.;0.41;.;.;.;.;.;.;.;.;.;.;20.79;.;3.23;5.52;.;.;7.38;51.07;5.52;0.00;0.00;0.00;31.81;11.59;0;0;0;1347483;878675;65.21;14857;2317;861501;289935;571566;33.65;1;21;4.55
141;08.12.1946;Bundesbeschluss über das Volksbegehren «Recht auf Arbeit»;3;4;4.2;4.24;10;10.2;10.26;1;1.6;1.62;6;2;32;1943-1947;2;2;7;114;2;.;.;Landesring der Unabhängigen;2;2;2;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;2;9999;.;1;9999;9999;2;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1943;22.48;28.60;11.59;.;0.41;.;.;.;.;.;.;.;.;.;.;20.79;.;3.23;5.52;.;.;7.38;5.52;83.46;0.00;0.00;0.00;11.02;0.00;0;0;0;1359392;681489;50.13;28852;2479;650158;124792;525366;19.19;0;22;0.00
142;18.05.1947;Bundesbeschluss über das Volksbegehren betreffend «Wirtschaftsreform und Rechte der Arbeit»;3;4;4.1;.;4;4.2;.;.;.;.;6;2;32;1943-1947;2;2;49;104;2;6;30;Sozialdemokratische Partei, Schweizerischer Gewerkschaftsbund;2;1;2;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;2;9999;.;66;9999;9999;2;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1943;22.48;28.60;11.59;.;0.41;.;.;.;.;.;.;.;.;.;.;20.79;.;3.23;5.52;.;.;7.38;28.60;54.86;0.00;0.00;0.00;11.02;5.52;0;0;0;1364771;811088;59.43;24694;2734;783660;244415;539244;31.19;0;22;0.00
143;06.07.1947;Bundesbeschluss über eine Revision der Wirtschaftsartikel der Bundesverfassung;1;4;4.1;4.13;5;5.1;.;3;3.3;.;6;.;32;1943-1947;1;1;100;10;1;17;0;.;1;1;1;9999;1;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;1;2;9999;9999;1;1;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1943;22.48;28.60;11.59;.;0.41;.;.;.;.;.;.;.;.;.;.;20.79;.;3.23;5.52;.;.;7.38;87.10;5.52;0.00;0.00;0.00;7.38;0.00;1;1;1;1371760;1092849;79.67;39695;1937;1051217;556803;494414;52.97;13;9;59.09
144;06.07.1947;Bundesgesetz über die Alters- und Hinterlassenenversicherung;2;10;10.2;10.21;.;.;.;.;.;.;6;1;32;1943-1947;1;1;170;8;1;34;1;.;1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;2;1;9999;9999;3;1;1;1;.;3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1943;22.48;28.60;11.59;.;0.41;.;.;.;.;.;.;.;.;.;.;20.79;.;3.23;5.52;.;.;7.38;88.98;3.23;0.00;0.00;0.00;7.79;0.00;1;3;1;1371760;1092849;79.67;13573;1744;1077532;862036;215496;80.00;21.5;0.5;97.73
145;14.03.1948;Bundesbeschluss über die Ordnung der schweizerischen Zuckerwirtschaft;2;5;5.3;.;3;3.3;.;.;.;.;6;1;33;1947-1951;1;1;86;6;1;25;1;"Komitee ""gegen den teuren Bundeszucker"" ";5;66;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;.;2;9999;9999;2;1;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1947;22.96;26.20;12.08;.;0.94;.;.;.;5.14;.;.;.;.;.;.;21.16;.;3.18;4.42;.;.;3.92;33.24;4.42;0.00;0.00;22.96;13.18;26.20;0;3;0;1376490;778427;56.55;22857;1517;754053;272701;481352;36.16;2;20;9.09
146;22.05.1949;Bundesbeschluss über die Revision von Artikel 39 der Bundesverfassung betreffend die Schweizerische Nationalbank;1;1;1.3;1.34;4;4.3;4.31;.;.;.;5;.;33;1947-1951;1;1;124;2;1;27;0;.;1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;.;2;9999;9999;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1947;22.96;26.20;12.08;.;0.94;.;.;.;5.14;.;.;.;.;.;.;21.16;.;3.18;4.42;.;.;3.92;82.40;4.42;0.00;0.00;0.00;13.18;0.00;0;0;0;1385582;845867;61.05;81909;1485;762473;293650;468823;38.51;1.5;20.5;6.82
147;22.05.1949;Bundesgesetz über die Ergänzung des Bundesgesetzes vom 13. Juni 1928 betreffend Massnahmen gegen die Tuberkulose;2;10;10.1;10.11;10;10.2;10.24;.;.;.;2;1;33;1947-1951;1;1;103;2;1;34;0;Liberale der Westschweiz;5;1;66;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;66;9999;.;2;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1947;22.96;26.20;12.08;.;0.94;.;.;.;5.14;.;.;.;.;.;.;21.16;.;3.18;4.42;.;.;3.92;26.20;4.42;0.00;0.00;22.96;13.18;33.24;0;3;0;1385582;845867;61.05;28241;1211;816415;202863;613552;24.85;0;22;0.00
148;11.09.1949;Volksinitiative «für die Rückkehr zur direkten Demokratie»;3;1;1.2;1.23;1;1.3;1.31;1;1.4;1.42;3;2;33;1947-1951;2;2;13;110;2;1;19;Waadtländer Freisinnige und Liberale;2;2;2;9999;.;9999;9999;9999;2;9999;9999;9999;9999;9999;9999;2;9999;.;1;9999;9999;.;1;2;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1947;22.96;26.20;12.08;.;0.94;.;.;.;5.14;.;.;.;.;.;.;21.16;.;3.18;4.42;.;.;3.92;4.42;87.54;0.00;0.00;0.00;8.04;0.00;1;1;1;1389856;590950;42.52;35655;1941;553354;280755;272599;50.74;12.5;9.5;56.82
149;11.12.1949;Bundesgesetz betreffend Abänderung des Bundesgesetzes vom 30. Juni 1927 über das Dienstverhältnis der Bundesbeamten;2;1;1.3;1.31;.;.;.;.;.;.;5;1;33;1947-1951;1;1;118;0;1;22;0;Zürcher Handels- und Industrieinteressen, Redressement National;1;1;1;9999;.;9999;9999;9999;1;9999;9999;9999;9999;9999;9999;1;9999;1;1;9999;9999;.;.;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1947;22.96;26.20;12.08;.;0.94;.;.;.;5.14;.;.;.;.;.;.;21.16;.;3.18;4.42;.;.;3.92;95.13;0.00;0.00;0.00;0.00;4.87;0.00;1;3;1;1394818;1004362;72.01;14552;1865;987945;546160;441785;55.28;14;8;63.64
150;29.01.1950;Bundesbeschluss betreffend die Verlängerung der Geltungsdauer und die Abänderung des Bundesbeschlusses über Massnahmen zur Förderung der Wohnbautätigkeit;2;9;9.2;9.22;.;.;.;.;.;.;6;1;33;1947-1951;1;1;98;19;1;23;1;Zentralverband der schweizerischen Hauseigentümer- und Grundeigentümervereine ;2;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;.;66;9999;9999;2;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1947;22.96;26.20;12.08;.;0.94;.;.;.;5.14;.;.;.;.;.;.;21.16;.;3.18;4.42;.;.;3.92;59.44;22.96;0.00;0.00;0.00;13.18;4.42;0;3;0;1394970;736767;52.82;14015;1418;721334;333878;387456;46.29;6.5;15.5;29.55
151;04.06.1950;Bundesbeschluss über die verfassungsmässige Neuordnung des Finanzhaushaltes des Bundes;1;6;6.2;.;6;6.1;6.12;.;.;.;5;.;33;1947-1951;1;1;95;68;1;32;9;.;1;2;1;9999;.;9999;9999;9999;2;9999;9999;9999;9999;9999;9999;1;9999;.;2;9999;9999;1;1;.;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1947;22.96;26.20;12.08;.;0.94;.;.;.;5.14;.;.;.;.;.;.;21.16;.;3.18;4.42;.;.;3.92;56.20;35.76;0.00;0.00;0.00;8.04;0.00;0;0;0;1393317;771122;55.34;15769;1202;754151;267770;486381;35.51;6;16;27.27
152;01.10.1950;Volksinitiative «zum Schutz des Bodens und der Arbeit durch Verhinderung der Spekulation»;3;9;9.1;9.12;5;5.1;.;.;.;.;3;2;33;1947-1951;2;2;25;70;2;0;35;Schweizer Bauernheimatbewegung;2;1;2;9999;2;9999;9999;9999;1;9999;9999;9999;9999;9999;9999;2;9999;2;2;9999;9999;2;2;2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1947;22.96;26.20;12.08;.;0.94;.;.;.;5.14;.;.;.;.;.;.;21.16;.;3.18;4.42;.;.;3.92;31.34;64.74;0.00;0.00;0.00;3.92;0.00;0;0;0;1400891;611803;43.67;22607;1311;587885;158794;429091;27.01;0;22;0.00
153;03.12.1950;Bundesbeschluss betreffend Abänderung des Artikels 72 der Bundesverfassung (Wahl des Nationalrates);1;1;1.3;1.32;1;1.2;1.24;.;.;.;4;.;33;1947-1951;1;1;103;0;1;35;0;.;1;1;1;9999;.;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;1;9999;.;1;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1947;22.96;26.20;12.08;.;0.94;.;.;.;5.14;.;.;.;.;.;.;21.16;.;3.18;4.42;.;.;3.92;86.82;0.00;0.00;0.00;0.00;13.18;0.00;1;1;1;1403731;781691;55.69;110615;2140;668936;450395;218541;67.33;20;2;90.91
