anr;datum;titel_off_d;rechtsform;d1e1;d1e2;d1e3;d2e1;d2e2;d2e3;d3e1;d3e2;d3e3;dep;br-pos;legislatur;legisjahr;bv-pos;nr-pos;nrja;nrnein;sr-pos;srja;srnein;urheber;p-fdp;p-sps;p-svp;p-mitte;p-evp;p-gps;p-glp;p-ucsp;p-pda;p-sd;p-edu;p-fps;p-lega;p-kvp;p-mcg;p-cvp;p-bdp;p-lps;p-ldu;p-poch;p-rep;p-eco;p-sgv;p-sbv;p-sgb;p-travs;p-sav;p-vsa;p-vpod;p-voev;p-tcs;p-vcs;p-acs;p-sbk;p-ssv;p-gem;p-kdk;p-kkjpd;p-gdk;p-ldk;p-vdk;p-sodk;p-endk;p-fdk;p-edk;p-bpuk;nr-wahl;w-fdp;w-sp;w-svp;w-mitte;w-evp;w-gps;w-glp;w-csp;w-pda;w-sd;w-edu;w-fps;w-lega;w-kvp;w-mcg;w-cvp;w-bdp;w-lps;w-ldu;w-poch;w-rep;w-ubrige;ja-lager;nein-lager;keinepar-summe;leer-summe;freigabe-summe;unbekannt-summe;neutral-summe;volk;stand;annahme;berecht;stimmen;bet;leer;ungultig;gultig;volkja;volknein;volkja-proz;kt-ja;kt-nein;ktjaproz
11;12.05.1872;Totalrevision;1;1;1.2;1.21;1;1.5;1.52;.;.;.;3;.;8;1869-1872;1;1;.;.;1;.;.;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;.;.;.;.;.;516468;255609;260859;49.49;9;13;40.91
12;19.04.1874;Totalrevision;1;1;1.2;1.21;1;1.5;1.52;.;.;.;3;.;9;1872-1875;1;1;.;.;1;;.;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;1;.;.;.;.;.;538212;340199;198013;63.21;13.5;8.5;61.36
13;23.05.1875;Bundesgesez betreffend Feststellung und Beurkundung des Zivilstandes und die Ehe;2;1;1.6;1.64;12;12.3;.;1;1.5;1.52;3;1;9;1872-1875;1;1;60;17;1;20;14;Eidgenössischer Verein;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;3;1;.;.;.;.;.;418268;213199;205069;50.97;9.5;12.5;43.18
14;23.05.1875;Bundesgesez über die politische Stimmberechtigung der Schweizerbürger;2;1;1.4;1.43;1;1.6;1.62;1;1.5;.;3;1;9;1872-1875;1;1;60;19;1;18;17;Eidgenössischer Verein mit Unterstützung Katholisch-Konservativer und westschweizerischer Föderalisten;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;3;0;.;.;.;.;.;409846;202583;207263;49.43;8.5;13.5;38.64
15;23.04.1876;Bundesgesez über die Ausgabe und Einlösung von Banknoten;2;4;4.3;4.31;1;1.5;1.52;1;1.3;1.34;5;1;10;1875-1878;1;1;66;31;1;19;13;Genfer Bankiers, Grütliverein;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;3;0;.;.;.;.;.;313321;120068;193253;38.32;6.5;15.5;29.55
16;09.07.1876;Bundesgesez betreffend die Militärpflichtersazsteuer;2;3;3.2;3.21;6;6.1;6.13;1;1.5;1.52;4;1;10;1875-1878;1;1;38;27;1;22;10;Westschweizer Kreise, Eidgenössischer Verein, Grütliverein;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;3;0;.;.;.;.;.;341051;156157;184894;45.79;8;14;36.36
17;21.10.1877;Bundesgesez betreffend die Arbeit in den Fabriken;2;4;4.2;4.21;10;10.3;10.35;10;10.3;10.33;2;1;10;1875-1878;1;1;90;15;1;21;16;Zürcherische Spinnereifabrikanten, aargauischer Industrieverein, Schweizerischer Handels- und Industrieverein;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;3;1;.;.;.;.;.;352061;181204;170857;51.47;14;8;63.64
18;21.10.1877;Bundesgesez betreffend den Militärpflichtersaz;2;3;3.2;3.21;6;6.1;6.13;1;1.5;1.52;4;1;10;1875-1878;1;1;46;18;1;29;12;Eidgenössischer Verein, Grütliverein;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;3;0;.;.;.;.;.;351606;170223;181383;48.41;8;14;36.36
19;21.10.1877;Bundesgesez betreffend die politischen Rechte der Niedergelassenen und Aufenthalter und den Verlust der politischen Rechte der Schweizerbürger;2;1;1.4;1.43;1;1.6;1.62;1;1.5;.;3;1;10;1875-1878;1;1;50;17;1;24;14;Eidgenössischer Verein;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;3;0;.;.;.;.;.;344787;131557;213230;38.16;5.5;16.5;25.00
20;19.01.1879;Bundesgesez betreffend Gewährung von Subsidien für Alpenbahnen;2;8;8.3;.;.;.;.;.;.;.;7;1;11;1878-1881;1;1;87;13;1;35;0;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;3;1;636996;394302;61.90;.;.;394302;278731;115571;70.69;19.5;2.5;88.64
21;18.05.1879;Bundesbeschluss betreffend Abänderung von Artikel 65 der Bundesverfassung (Todesstrafe);1;1;1.6;1.62;1;1.6;1.65;.;.;.;3;.;11;1878-1881;1;1;76;49;1;27;13;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;1;633138;382073;60.35;.;.;382073;200485;181588;52.47;15;7;68.18
22;31.10.1880;Bundesbeschluss betreffend den durch das Volksbegehren vom 3. August 1880 gestellten Antrag auf Revision der Bundesverfassung;1;4;4.3;4.31;1;1.5;1.52;1;1.3;1.34;5;.;11;1878-1881;1;1;97;11;1;30;5;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;641576;381225;59.42;5305;.;381225;121099;260126;31.77;4.5;17.5;20.45
23;30.07.1882;Bundesbeschluss betreffend den Erfindungsschutz;1;4;4.1;4.12;;.;.;.;.;.;6;.;12;1881-1884;1;1;77;23;1;26;3;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;635249;298274;46.95;.;.;298274;141616;156658;47.48;7.5;14.5;34.09
24;30.07.1882;Bundesgesez betreffend Massnahmen gegen gemeingefährliche Epidemien;2;10;10.1;10.11;1;1.5;1.52;.;.;.;2;1;12;1881-1884;1;1;83;12;1;24;11;Katholisch-Konservative und Impfgegner;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;9999;.;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;3;0;635249;322367;50.75;.;.;322367;68027;254340;21.10;1;21;4.55
